,SOURCE
10395_5#30,1
11658_1#23,1
11658_1#25,1
11658_1#32,1
11658_1#35,1
11658_1#38,1
11658_1#40,1
11658_1#42,1
11658_1#46,1
11658_1#48,1
11658_1#73,1
11658_1#74,1
11658_1#75,1
11658_1#79,1
11658_1#80,1
11658_1#81,1
11658_1#85,1
11658_1#88,1
11658_1#90,1
11658_8#23,1
11791_1#38,1
11791_1#40,1
11791_1#42,1
11791_1#44,1
11791_1#45,1
11791_1#55,1
11791_1#56,1
11940_1#10,1
11940_1#12,1
14410_4#10,1
14410_4#11,1
14410_4#1,1
14410_4#20,1
14410_4#31,1
14410_4#43,1
14410_4#4,1
14410_4#51,1
14410_4#52,1
14410_4#54,1
14410_4#56,1
14410_4#60,1
14410_4#63,1
14410_4#71,1
14410_4#81,1
14410_4#82,1
14410_4#85,1
14410_5#24,1
14410_5#30,1
14410_5#35,1
14410_5#39,1
14410_5#42,1
14410_5#43,1
14410_5#44,1
14410_5#45,1
14410_5#48,1
14410_5#50,1
14410_5#7,1
14410_6#14,1
14410_6#19,1
14410_6#1,1
14410_6#26,1
14410_6#30,1
14410_6#33,1
14410_6#38,1
14410_6#39,1
14410_6#41,1
14410_6#48,1
14410_6#4,1
14410_6#56,1
14410_6#64,1
14410_6#81,1
14410_6#8,1
14410_7#11,1
14410_7#12,1
14410_7#14,1
14410_7#19,1
14410_7#1,1
14410_7#26,1
14410_7#38,1
14410_7#39,1
14410_7#46,1
14410_7#52,1
14410_7#54,1
14410_7#60,1
14410_7#61,1
14410_7#6,1
14410_7#75,1
14410_7#76,1
14410_7#79,1
14410_7#83,1
14410_7#9,1
14520_6#61,1
14520_6#63,1
14520_6#73,1
14520_6#79,1
14520_6#81,1
14520_7#5,1
14520_7#77,1
14520_7#78,1
15378_2#30,1
15378_2#50,1
15531_4#50,1
15531_4#89,1
15531_4#91,1
15531_5#31,1
15531_5#35,1
15531_6#18,1
15531_6#22,1
15531_6#24,1
15531_6#29,1
15531_6#32,1
15531_6#34,1
15531_6#37,1
15531_6#45,1
15531_6#54,1
15531_6#58,1
15531_6#60,1
15531_6#63,1
15531_6#70,1
15531_6#93,0
15531_7#22,0
15531_7#36,1
15531_7#40,1
15873_2#57,1
15873_2#59,1
15873_3#10,1
15873_3#15,1
15873_4#58,1
15873_4#59,1
15873_5#23,1
15873_5#66,1
16399_5#13,0
16399_7#50,0
16399_7#63,0
16399_7#80,0
16453_2#3,0
17794_7#153,0
17794_8#114,0
17794_8#1,0
17794_8#93,0
19183_3#26,0
19183_3#27,0
19183_3#28,0
19183_3#29,0
19183_3#30,0
19183_3#31,0
19183_3#32,0
19183_3#35,0
19183_3#36,0
19183_3#37,0
19183_3#38,0
19183_3#39,0
19183_3#40,0
19183_3#41,0
19183_3#42,0
19183_3#43,0
19183_3#44,0
19183_3#48,0
19183_3#49,0
19183_3#50,0
19183_3#53,0
19183_3#54,0
19183_3#55,0
19183_3#56,0
19183_3#57,0
19183_3#58,0
19183_3#60,0
19183_3#61,0
19183_3#62,0
19183_3#63,0
19183_3#64,0
19183_3#65,0
19183_3#66,0
19183_3#67,0
19183_3#68,0
19183_3#69,0
19183_3#71,0
19183_3#72,0
19183_3#73,0
19183_3#74,0
19183_3#75,0
19183_3#76,0
19183_3#77,0
19183_3#78,0
19183_3#83,0
19183_3#84,0
19183_3#85,0
19183_3#86,0
19183_3#87,0
19183_3#89,0
19341_1#158,1
19341_1#164,1
19341_1#165,1
19341_1#2,1
20402_4#106,1
20402_4#181,0
20402_4#2,1
21485_1#139,0
21523_1#22,0
21523_1#25,1
21523_1#34,0
21523_1#39,1
21523_1#49,1
21523_1#72,1
